Periodo,Tramo_Edad,Porcentaje
2008,16-34 edad,41.9205011506613
2008,16-19 edad,2.07248767518343
2008,20-24 edad,14.9943535581474
2008,25-29 edad,46.7777257932782
2008,30-34 edad,73.9314995249677
2018,16-34 edad,34.8620285435954
2018,16-19 edad,1.17640982918291
2018,20-24 edad,9.95380423503833
2018,25-29 edad,40.7734874446136
2018,30-34 edad,71.4415657631523
