Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
10-14 años;TOTAL;Mujeres;2005;1048634
10-14 años;TOTAL;Mujeres;2004;1054615
10-14 años;TOTAL;Mujeres;2003;1057108
10-14 años;TOTAL;Mujeres;2002;1047938
10-14 años;TOTAL;Mujeres;2001;1053210
10-14 años;TOTAL;Mujeres;2000;1069791
10-14 años;TOTAL;Mujeres;1999;1093139
10-14 años;TOTAL;Mujeres;1998;1114047
15-19 años;TOTAL;Hombres;2020;1232566
15-19 años;TOTAL;Hombres;2019;1195323
15-19 años;TOTAL;Hombres;2018;1159872
15-19 años;TOTAL;Hombres;2017;1139763
15-19 años;TOTAL;Hombres;2016;1123784
15-19 años;TOTAL;Hombres;2015;1108717
15-19 años;TOTAL;Hombres;2014;1107374
15-19 años;TOTAL;Hombres;2013;1122595
15-19 años;TOTAL;Hombres;2012;1146321
15-19 años;TOTAL;Hombres;2011;1167727
15-19 años;TOTAL;Hombres;2010;1185770
15-19 años;TOTAL;Hombres;2009;1203734
15-19 años;TOTAL;Hombres;2008;1211178
15-19 años;TOTAL;Hombres;2007;1198595
15-19 años;TOTAL;Hombres;2006;1205080
15-19 años;TOTAL;Hombres;2005;1218199
15-19 años;TOTAL;Hombres;2004;1229969
15-19 años;TOTAL;Hombres;2003;1254415
15-19 años;TOTAL;Hombres;2002;1283897
15-19 años;TOTAL;Hombres;2001;1324341
15-19 años;TOTAL;Hombres;2000;1375253
15-19 años;TOTAL;Hombres;1999;1439162
15-19 años;TOTAL;Hombres;1998;1503079
15-19 años;TOTAL;Mujeres;2020;1156455
15-19 años;TOTAL;Mujeres;2019;1127123
15-19 años;TOTAL;Mujeres;2018;1093442
15-19 años;TOTAL;Mujeres;2017;1076033
15-19 años;TOTAL;Mujeres;2016;1060085
15-19 años;TOTAL;Mujeres;2015;1046339
15-19 años;TOTAL;Mujeres;2014;1043353
15-19 años;TOTAL;Mujeres;2013;1058721
15-19 años;TOTAL;Mujeres;2012;1081229
15-19 años;TOTAL;Mujeres;2011;1100177
15-19 años;TOTAL;Mujeres;2010;1117658
15-19 años;TOTAL;Mujeres;2009;1135447
15-19 años;TOTAL;Mujeres;2008;1143326
