Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
60-64 años;TOTAL;Hombres;2007;1103584
60-64 años;TOTAL;Hombres;2006;1059021
60-64 años;TOTAL;Hombres;2005;1041541
60-64 años;TOTAL;Hombres;2004;959344
60-64 años;TOTAL;Hombres;2003;907536
60-64 años;TOTAL;Hombres;2002;899621
60-64 años;TOTAL;Hombres;2001;928702
60-64 años;TOTAL;Hombres;2000;910630
60-64 años;TOTAL;Hombres;1999;977576
60-64 años;TOTAL;Hombres;1998;1017987
60-64 años;TOTAL;Mujeres;2020;1502563
60-64 años;TOTAL;Mujeres;2019;1445421
60-64 años;TOTAL;Mujeres;2018;1396048
60-64 años;TOTAL;Mujeres;2017;1354047
60-64 años;TOTAL;Mujeres;2016;1320046
60-64 años;TOTAL;Mujeres;2015;1290729
60-64 años;TOTAL;Mujeres;2014;1285335
60-64 años;TOTAL;Mujeres;2013;1300033
60-64 años;TOTAL;Mujeres;2012;1286324
60-64 años;TOTAL;Mujeres;2011;1275852
60-64 años;TOTAL;Mujeres;2010;1280561
60-64 años;TOTAL;Mujeres;2009;1262077
60-64 años;TOTAL;Mujeres;2008;1224696
60-64 años;TOTAL;Mujeres;2007;1176897
60-64 años;TOTAL;Mujeres;2006;1126406
60-64 años;TOTAL;Mujeres;2005;1108184
60-64 años;TOTAL;Mujeres;2004;1024042
60-64 años;TOTAL;Mujeres;2003;972438
60-64 años;TOTAL;Mujeres;2002;968385
60-64 años;TOTAL;Mujeres;2001;1011010
60-64 años;TOTAL;Mujeres;2000;998895
60-64 años;TOTAL;Mujeres;1999;1070385
60-64 años;TOTAL;Mujeres;1998;1114737
65-69 años;TOTAL;Hombres;2020;1153768
65-69 años;TOTAL;Hombres;2019;1141795
65-69 años;TOTAL;Hombres;2018;1139773
65-69 años;TOTAL;Hombres;2017;1120186
65-69 años;TOTAL;Hombres;2016;1110250
65-69 años;TOTAL;Hombres;2015;1116301
65-69 años;TOTAL;Hombres;2014;1104299
65-69 años;TOTAL;Hombres;2013;1085446
65-69 años;TOTAL;Hombres;2012;1052696
65-69 años;TOTAL;Hombres;2011;1013458
65-69 años;TOTAL;Hombres;2010;1000448
65-69 años;TOTAL;Hombres;2009;927927
65-69 años;TOTAL;Hombres;2008;876799
65-69 años;TOTAL;Hombres;2007;869799
65-69 años;TOTAL;Hombres;2006;896292
65-69 años;TOTAL;Hombres;2005;876918
65-69 años;TOTAL;Hombres;2004;929459
65-69 años;TOTAL;Hombres;2003;975471
65-69 años;TOTAL;Hombres;2002;993717
65-69 años;TOTAL;Hombres;2001;989180
65-69 años;TOTAL;Hombres;2000;988657
65-69 años;TOTAL;Hombres;1999;987570
65-69 años;TOTAL;Hombres;1998;962934
65-69 años;TOTAL;Mujeres;2020;1270544
65-69 años;TOTAL;Mujeres;2019;1257000
65-69 años;TOTAL;Mujeres;2018;1256871
65-69 años;TOTAL;Mujeres;2017;1238578
65-69 años;TOTAL;Mujeres;2016;1229796
65-69 años;TOTAL;Mujeres;2015;1238651
65-69 años;TOTAL;Mujeres;2014;1225039
65-69 años;TOTAL;Mujeres;2013;1203893
65-69 años;TOTAL;Mujeres;2012;1165964
65-69 años;TOTAL;Mujeres;2011;1119276
65-69 años;TOTAL;Mujeres;2010;1105186
65-69 años;TOTAL;Mujeres;2009;1027416
65-69 años;TOTAL;Mujeres;2008;972081
65-69 años;TOTAL;Mujeres;2007;969665
65-69 años;TOTAL;Mujeres;2006;1011601
65-69 años;TOTAL;Mujeres;2005;997319
65-69 años;TOTAL;Mujeres;2004;1056316
65-69 años;TOTAL;Mujeres;2003;1108932
65-69 años;TOTAL;Mujeres;2002;1131577
65-69 años;TOTAL;Mujeres;2001;1121213
65-69 años;TOTAL;Mujeres;2000;1125712
65-69 años;TOTAL;Mujeres;1999;1126667
65-69 años;TOTAL;Mujeres;1998;1104723
70-74 años;TOTAL;Hombres;2020;1020478
70-74 años;TOTAL;Hombres;2019;1003426
70-74 años;TOTAL;Hombres;2018;974695
70-74 años;TOTAL;Hombres;2017;941295
70-74 años;TOTAL;Hombres;2016;907808
70-74 años;TOTAL;Hombres;2015;897943
70-74 años;TOTAL;Hombres;2014;834098
70-74 años;TOTAL;Hombres;2013;796691
70-74 años;TOTAL;Hombres;2012;795187
70-74 años;TOTAL;Hombres;2011;817643
70-74 años;TOTAL;Hombres;2010;800240
70-74 años;TOTAL;Hombres;2009;850628
70-74 años;TOTAL;Hombres;2008;887791
70-74 años;TOTAL;Hombres;2007;903141
70-74 años;TOTAL;Hombres;2006;897252
70-74 años;TOTAL;Hombres;2005;894842
70-74 años;TOTAL;Hombres;2004;882495
70-74 años;TOTAL;Hombres;2003;868467
70-74 años;TOTAL;Hombres;2002;842713
70-74 años;TOTAL;Hombres;2001;828416
70-74 años;TOTAL;Hombres;2000;801981
70-74 años;TOTAL;Hombres;1999;790578
70-74 años;TOTAL;Hombres;1998;763766
70-74 años;TOTAL;Mujeres;2020;1191698
70-74 años;TOTAL;Mujeres;2019;1172414
70-74 años;TOTAL;Mujeres;2018;1139787
70-74 años;TOTAL;Mujeres;2017;1100398
70-74 años;TOTAL;Mujeres;2016;1057649
70-74 años;TOTAL;Mujeres;2015;1046942
70-74 años;TOTAL;Mujeres;2014;975898
70-74 años;TOTAL;Mujeres;2013;934860
70-74 años;TOTAL;Mujeres;2012;938564
70-74 años;TOTAL;Mujeres;2011;976497
70-74 años;TOTAL;Mujeres;2010;963726
70-74 años;TOTAL;Mujeres;2009;1024570
70-74 años;TOTAL;Mujeres;2008;1069151
70-74 años;TOTAL;Mujeres;2007;1090612
70-74 años;TOTAL;Mujeres;2006;1081146
70-74 años;TOTAL;Mujeres;2005;1084893
70-74 años;TOTAL;Mujeres;2004;1074948
70-74 años;TOTAL;Mujeres;2003;1063452
70-74 años;TOTAL;Mujeres;2002;1036509
70-74 años;TOTAL;Mujeres;2001;1024966
70-74 años;TOTAL;Mujeres;2000;997735
70-74 años;TOTAL;Mujeres;1999;988257
70-74 años;TOTAL;Mujeres;1998;956538
75-79 años;TOTAL;Hombres;2020;773823
75-79 años;TOTAL;Hombres;2019;714170
75-79 años;TOTAL;Hombres;2018;670633
75-79 años;TOTAL;Hombres;2017;664708
75-79 años;TOTAL;Hombres;2016;683325
75-79 años;TOTAL;Hombres;2015;668968
75-79 años;TOTAL;Hombres;2014;713991
75-79 años;TOTAL;Hombres;2013;751726
75-79 años;TOTAL;Hombres;2012;766734
75-79 años;TOTAL;Hombres;2011;760014
75-79 años;TOTAL;Hombres;2010;754755
75-79 años;TOTAL;Hombres;2009;743934
75-79 años;TOTAL;Hombres;2008;727351
75-79 años;TOTAL;Hombres;2007;702414
75-79 años;TOTAL;Hombres;2006;686124
75-79 años;TOTAL;Hombres;2005;663303
75-79 años;TOTAL;Hombres;2004;644631
75-79 años;TOTAL;Hombres;2003;629464
75-79 años;TOTAL;Hombres;2002;617088
75-79 años;TOTAL;Hombres;2001;599863
75-79 años;TOTAL;Hombres;2000;575496
75-79 años;TOTAL;Hombres;1999;546288
75-79 años;TOTAL;Hombres;1998;507527
75-79 años;TOTAL;Mujeres;2020;974046
75-79 años;TOTAL;Mujeres;2019;903869
75-79 años;TOTAL;Mujeres;2018;854797
75-79 años;TOTAL;Mujeres;2017;855169
75-79 años;TOTAL;Mujeres;2016;889949
75-79 años;TOTAL;Mujeres;2015;879104
75-79 años;TOTAL;Mujeres;2014;938110
75-79 años;TOTAL;Mujeres;2013;988142
75-79 años;TOTAL;Mujeres;2012;1011391
75-79 años;TOTAL;Mujeres;2011;1002575
75-79 años;TOTAL;Mujeres;2010;1003603
75-79 años;TOTAL;Mujeres;2009;994307
75-79 años;TOTAL;Mujeres;2008;975967
75-79 años;TOTAL;Mujeres;2007;949641
75-79 años;TOTAL;Mujeres;2006;937154
75-79 años;TOTAL;Mujeres;2005;911773
75-79 años;TOTAL;Mujeres;2004;893588
75-79 años;TOTAL;Mujeres;2003;873990
75-79 años;TOTAL;Mujeres;2002;864791
75-79 años;TOTAL;Mujeres;2001;840875
75-79 años;TOTAL;Mujeres;2000;817929
75-79 años;TOTAL;Mujeres;1999;784302
75-79 años;TOTAL;Mujeres;1998;746674
80-84 años;TOTAL;Hombres;2020;513692
80-84 años;TOTAL;Hombres;2019;546034
80-84 años;TOTAL;Hombres;2018;568951
80-84 años;TOTAL;Hombres;2017;578372
80-84 años;TOTAL;Hombres;2016;573046
80-84 años;TOTAL;Hombres;2015;569374
80-84 años;TOTAL;Hombres;2014;558735
80-84 años;TOTAL;Hombres;2013;546923
80-84 años;TOTAL;Hombres;2012;527290
80-84 años;TOTAL;Hombres;2011;510779
80-84 años;TOTAL;Hombres;2010;489865
80-84 años;TOTAL;Hombres;2009;472930
80-84 años;TOTAL;Hombres;2008;457022
80-84 años;TOTAL;Hombres;2007;444042
80-84 años;TOTAL;Hombres;2006;428686
80-84 años;TOTAL;Hombres;2005;411735
80-84 años;TOTAL;Hombres;2004;385611
80-84 años;TOTAL;Hombres;2003;362050
80-84 años;TOTAL;Hombres;2002;336254
80-84 años;TOTAL;Hombres;2001;313349
80-84 años;TOTAL;Hombres;2000;295621
80-84 años;TOTAL;Hombres;1999;292200
80-84 años;TOTAL;Hombres;1998;285270
80-84 años;TOTAL;Mujeres;2020;759379
80-84 años;TOTAL;Mujeres;2019;807780
80-84 años;TOTAL;Mujeres;2018;844333
80-84 años;TOTAL;Mujeres;2017;861386
80-84 años;TOTAL;Mujeres;2016;852908
80-84 años;TOTAL;Mujeres;2015;853957
80-84 años;TOTAL;Mujeres;2014;845238
80-84 años;TOTAL;Mujeres;2013;832750
80-84 años;TOTAL;Mujeres;2012;810285
80-84 años;TOTAL;Mujeres;2011;795604
80-84 años;TOTAL;Mujeres;2010;769695
80-84 años;TOTAL;Mujeres;2009;752263
80-84 años;TOTAL;Mujeres;2008;728723
80-84 años;TOTAL;Mujeres;2007;717031
80-84 años;TOTAL;Mujeres;2006;694513
80-84 años;TOTAL;Mujeres;2005;675731
80-84 años;TOTAL;Mujeres;2004;640974
80-84 años;TOTAL;Mujeres;2003;615970
80-84 años;TOTAL;Mujeres;2002;581140
80-84 años;TOTAL;Mujeres;2001;559922
80-84 años;TOTAL;Mujeres;2000;535145
80-84 años;TOTAL;Mujeres;1999;531565
80-84 años;TOTAL;Mujeres;1998;516662
85-89 años;TOTAL;Hombres;2020;361702
85-89 años;TOTAL;Hombres;2019;352246
85-89 años;TOTAL;Hombres;2018;340043
85-89 años;TOTAL;Hombres;2017;324865
85-89 años;TOTAL;Hombres;2016;312145
85-89 años;TOTAL;Hombres;2015;298677
85-89 años;TOTAL;Hombres;2014;285791
85-89 años;TOTAL;Hombres;2013;275780
85-89 años;TOTAL;Hombres;2012;267534
85-89 años;TOTAL;Hombres;2011;255608
85-89 años;TOTAL;Hombres;2010;242545
85-89 años;TOTAL;Hombres;2009;226146
85-89 años;TOTAL;Hombres;2008;209285
85-89 años;TOTAL;Hombres;2007;191726
85-89 años;TOTAL;Hombres;2006;176105
85-89 años;TOTAL;Hombres;2005;166379
85-89 años;TOTAL;Hombres;2004;162168
85-89 años;TOTAL;Hombres;2003;161133
85-89 años;TOTAL;Hombres;2002;160455
85-89 años;TOTAL;Hombres;2001;160900
85-89 años;TOTAL;Hombres;2000;156042
85-89 años;TOTAL;Hombres;1999;152442
85-89 años;TOTAL;Hombres;1998;147084
85-89 años;TOTAL;Mujeres;2020;634714
85-89 años;TOTAL;Mujeres;2019;623001
85-89 años;TOTAL;Mujeres;2018;608334
85-89 años;TOTAL;Mujeres;2017;588052
85-89 años;TOTAL;Mujeres;2016;574244
85-89 años;TOTAL;Mujeres;2015;555595
85-89 años;TOTAL;Mujeres;2014;539566
85-89 años;TOTAL;Mujeres;2013;522285
85-89 años;TOTAL;Mujeres;2012;513553
85-89 años;TOTAL;Mujeres;2011;493657
85-89 años;TOTAL;Mujeres;2010;475390
85-89 años;TOTAL;Mujeres;2009;448722
85-89 años;TOTAL;Mujeres;2008;425231
85-89 años;TOTAL;Mujeres;2007;396710
85-89 años;TOTAL;Mujeres;2006;377905
85-89 años;TOTAL;Mujeres;2005;360470
85-89 años;TOTAL;Mujeres;2004;354921
85-89 años;TOTAL;Mujeres;2003;349610
85-89 años;TOTAL;Mujeres;2002;347163
85-89 años;TOTAL;Mujeres;2001;346274
85-89 años;TOTAL;Mujeres;2000;336296
85-89 años;TOTAL;Mujeres;1999;324292
85-89 años;TOTAL;Mujeres;1998;310481
90-94 años;TOTAL;Hombres;2020;133032
90-94 años;TOTAL;Hombres;2019;125356
90-94 años;TOTAL;Hombres;2018;119011
90-94 años;TOTAL;Hombres;2017;114545
90-94 años;TOTAL;Hombres;2016;108789
90-94 años;TOTAL;Hombres;2015;104062
90-94 años;TOTAL;Hombres;2014;96791
90-94 años;TOTAL;Hombres;2013;89468
90-94 años;TOTAL;Hombres;2012;81911
90-94 años;TOTAL;Hombres;2011;73659
90-94 años;TOTAL;Hombres;2010;67870
90-94 años;TOTAL;Hombres;2009;65398
90-94 años;TOTAL;Hombres;2008;64107
90-94 años;TOTAL;Hombres;2007;63355
90-94 años;TOTAL;Hombres;2006;63520
90-94 años;TOTAL;Hombres;2005;62409
90-94 años;TOTAL;Hombres;2004;60378
90-94 años;TOTAL;Hombres;2003;59259
90-94 años;TOTAL;Hombres;2002;57307
90-94 años;TOTAL;Hombres;2001;56068
90-94 años;TOTAL;Hombres;2000;52184
90-94 años;TOTAL;Hombres;1999;48763
90-94 años;TOTAL;Hombres;1998;45144
90-94 años;TOTAL;Mujeres;2020;302885
90-94 años;TOTAL;Mujeres;2019;290192
90-94 años;TOTAL;Mujeres;2018;278123
90-94 años;TOTAL;Mujeres;2017;271371
90-94 años;TOTAL;Mujeres;2016;259756
90-94 años;TOTAL;Mujeres;2015;251512
90-94 años;TOTAL;Mujeres;2014;236348
90-94 años;TOTAL;Mujeres;2013;222959
90-94 años;TOTAL;Mujeres;2012;207894
90-94 años;TOTAL;Mujeres;2011;194441
90-94 años;TOTAL;Mujeres;2010;181261
90-94 años;TOTAL;Mujeres;2009;176728
90-94 años;TOTAL;Mujeres;2008;171541
90-94 años;TOTAL;Mujeres;2007;168445
90-94 años;TOTAL;Mujeres;2006;166609
90-94 años;TOTAL;Mujeres;2005;163643
90-94 años;TOTAL;Mujeres;2004;156475
90-94 años;TOTAL;Mujeres;2003;151862
90-94 años;TOTAL;Mujeres;2002;145872
90-94 años;TOTAL;Mujeres;2001;142633
90-94 años;TOTAL;Mujeres;2000;131568
90-94 años;TOTAL;Mujeres;1999;122888
90-94 años;TOTAL;Mujeres;1998;115577
95-99 años;TOTAL;Hombres;2020;27305
95-99 años;TOTAL;Hombres;2019;25278
95-99 años;TOTAL;Hombres;2018;23376
95-99 años;TOTAL;Hombres;2017;21297
95-99 años;TOTAL;Hombres;2016;19286
95-99 años;TOTAL;Hombres;2015;17972
95-99 años;TOTAL;Hombres;2014;17013
95-99 años;TOTAL;Hombres;2013;16768
95-99 años;TOTAL;Hombres;2012;16922
95-99 años;TOTAL;Hombres;2011;16316
95-99 años;TOTAL;Hombres;2010;15751
95-99 años;TOTAL;Hombres;2009;14924
95-99 años;TOTAL;Hombres;2008;14431
95-99 años;TOTAL;Hombres;2007;13844
95-99 años;TOTAL;Hombres;2006;14059
95-99 años;TOTAL;Hombres;2005;13235
95-99 años;TOTAL;Hombres;2004;12199
95-99 años;TOTAL;Hombres;2003;11689
95-99 años;TOTAL;Hombres;2002;11177
95-99 años;TOTAL;Hombres;2001;11105
95-99 años;TOTAL;Hombres;2000;11092
95-99 años;TOTAL;Hombres;1999;10366
95-99 años;TOTAL;Hombres;1998;9615
95-99 años;TOTAL;Mujeres;2020;84007
95-99 años;TOTAL;Mujeres;2019;78329
95-99 años;TOTAL;Mujeres;2018;73917
95-99 años;TOTAL;Mujeres;2017;68601
95-99 años;TOTAL;Mujeres;2016;63891
95-99 años;TOTAL;Mujeres;2015;60440
95-99 años;TOTAL;Mujeres;2014;58345
95-99 años;TOTAL;Mujeres;2013;56083
95-99 años;TOTAL;Mujeres;2012;55115
95-99 años;TOTAL;Mujeres;2011;53757
95-99 años;TOTAL;Mujeres;2010;51562
95-99 años;TOTAL;Mujeres;2009;48762
95-99 años;TOTAL;Mujeres;2008;46117
95-99 años;TOTAL;Mujeres;2007;43442
95-99 años;TOTAL;Mujeres;2006;43349
95-99 años;TOTAL;Mujeres;2005;40676
95-99 años;TOTAL;Mujeres;2004;37686
95-99 años;TOTAL;Mujeres;2003;36097
95-99 años;TOTAL;Mujeres;2002;34955
95-99 años;TOTAL;Mujeres;2001;34023
95-99 años;TOTAL;Mujeres;2000;31528
95-99 años;TOTAL;Mujeres;1999;28703
95-99 años;TOTAL;Mujeres;1998;25975
