Año,SMI
1999,416.321084706646
2000,424.795355378457
2001,433.449929681584
2002,442.2
2003,451.2
2004,460.5
2005,513
2006,540.9
2007,570.6
2008,600
2009,624
2010,633.3
2011,641.4
2012,641.4
2013,645.3
2014,645.3
2015,648.6
2016,655.2
2017,707.7
2018,735.9
2019,900
2020,950
2021,965
