Sexo;Edad;Estado civil;Periodo;Total
Ambos sexos;50 a 54;Total;2021/1;2653.3
Ambos sexos;50 a 54;Total;2020/4;2659.3
Ambos sexos;50 a 54;Total;2020/3;2636.5
Ambos sexos;50 a 54;Total;2020/2;2604
Ambos sexos;50 a 54;Total;2020/1;2653.8
Ambos sexos;50 a 54;Total;2019/4;2702.7
Ambos sexos;50 a 54;Total;2019/3;2661.2
Ambos sexos;50 a 54;Total;2019/2;2629.8
Ambos sexos;50 a 54;Total;2019/1;2605.3
Ambos sexos;50 a 54;Total;2018/4;2596.3
Ambos sexos;50 a 54;Total;2018/3;2572.4
Ambos sexos;50 a 54;Total;2018/2;2549.2
Ambos sexos;50 a 54;Total;2018/1;2482.6
Ambos sexos;50 a 54;Total;2017/4;2508.3
Ambos sexos;50 a 54;Total;2017/3;2473.4
Ambos sexos;50 a 54;Total;2017/2;2444.3
Ambos sexos;50 a 54;Total;2017/1;2397
Ambos sexos;50 a 54;Total;2016/4;2390.9
Ambos sexos;50 a 54;Total;2016/3;2345.6
Ambos sexos;50 a 54;Total;2016/2;2328.3
Ambos sexos;50 a 54;Total;2016/1;2298
Ambos sexos;50 a 54;Total;2015/4;2300.1
Ambos sexos;50 a 54;Total;2015/3;2258.7
Ambos sexos;50 a 54;Total;2015/2;2257.1
Ambos sexos;50 a 54;Total;2015/1;2207.8
Ambos sexos;50 a 54;Total;2014/4;2211.1
Ambos sexos;50 a 54;Total;2014/3;2148.6
Ambos sexos;50 a 54;Total;2014/2;2138.3
Ambos sexos;50 a 54;Total;2014/1;2103.1
Ambos sexos;50 a 54;Total;2013/4;2079.2
Ambos sexos;50 a 54;Total;2013/3;2075.4
Ambos sexos;50 a 54;Total;2013/2;2083.6
Ambos sexos;50 a 54;Total;2013/1;2074.6
Ambos sexos;50 a 54;Total;2012/4;2072.4
Ambos sexos;50 a 54;Total;2012/3;2062.9
Ambos sexos;50 a 54;Total;2012/2;2071
Ambos sexos;50 a 54;Total;2012/1;2077.4
Ambos sexos;50 a 54;Total;2011/4;2090.4
Ambos sexos;50 a 54;Total;2011/3;2091.7
Ambos sexos;50 a 54;Total;2011/2;2104
Ambos sexos;50 a 54;Total;2011/1;2073.2
Ambos sexos;50 a 54;Total;2010/4;2062.2
Ambos sexos;50 a 54;Total;2010/3;2061.6
Ambos sexos;50 a 54;Total;2010/2;2025.4
Ambos sexos;50 a 54;Total;2010/1;2000.7
Ambos sexos;50 a 54;Total;2009/4;1993.5
Ambos sexos;50 a 54;Total;2009/3;1967.5
Ambos sexos;50 a 54;Total;2009/2;1945.4
Ambos sexos;50 a 54;Total;2009/1;1936.4
Ambos sexos;50 a 54;Total;2008/4;1968.3
Ambos sexos;50 a 54;Total;2008/3;1960.4
Ambos sexos;50 a 54;Total;2008/2;1963
Ambos sexos;50 a 54;Total;2008/1;1939.8
Ambos sexos;50 a 54;Total;2007/4;1936.2
Ambos sexos;50 a 54;Total;2007/3;1926.8
Ambos sexos;50 a 54;Total;2007/2;1883.5
Ambos sexos;50 a 54;Total;2007/1;1849.9
Ambos sexos;50 a 54;Total;2006/4;1824.2
Ambos sexos;50 a 54;Total;2006/3;1791.8
Ambos sexos;50 a 54;Total;2006/2;1774.9
Ambos sexos;50 a 54;Total;2006/1;1744.1
Ambos sexos;50 a 54;Total;2005/4;1729
Ambos sexos;50 a 54;Total;2005/3;1712.2
Ambos sexos;50 a 54;Total;2005/2;1691.8
Ambos sexos;50 a 54;Total;2005/1;1670.9
Ambos sexos;50 a 54;Total;2004/4;1634.2
Ambos sexos;50 a 54;Total;2004/3;1609.7
Ambos sexos;50 a 54;Total;2004/2;1609.5
Ambos sexos;50 a 54;Total;2004/1;1579.2
Ambos sexos;50 a 54;Total;2003/4;1563.9
Ambos sexos;50 a 54;Total;2003/3;1556.2
Ambos sexos;50 a 54;Total;2003/2;1542.5
Ambos sexos;50 a 54;Total;2003/1;1525.6
Ambos sexos;50 a 54;Total;2002/4;1513.8
Ambos sexos;50 a 54;Total;2002/3;1490.7
Ambos sexos;50 a 54;Total;2002/2;1473.2
Ambos sexos;50 a 54;Total;2002/1;1460.9
Ambos sexos;55 a 59;Total;2021/3;2239.2
Ambos sexos;55 a 59;Total;2021/2;2224.3
Ambos sexos;55 a 59;Total;2021/1;2214.8
Ambos sexos;55 a 59;Total;2020/4;2221.6
Ambos sexos;55 a 59;Total;2020/3;2195.3
Ambos sexos;55 a 59;Total;2020/2;2151.6
Ambos sexos;55 a 59;Total;2020/1;2206.3
Ambos sexos;55 a 59;Total;2019/4;2178.8
Ambos sexos;55 a 59;Total;2019/3;2136.3
Ambos sexos;55 a 59;Total;2019/2;2145.4
Ambos sexos;55 a 59;Total;2019/1;2102.5
Ambos sexos;55 a 59;Total;2018/4;2087
Ambos sexos;55 a 59;Total;2018/3;2064.1
Ambos sexos;55 a 59;Total;2018/2;2021.8
Ambos sexos;55 a 59;Total;2018/1;1984.7
Ambos sexos;55 a 59;Total;2017/4;1959.8
Ambos sexos;55 a 59;Total;2017/3;1933.4
Ambos sexos;55 a 59;Total;2017/2;1917.1
Ambos sexos;55 a 59;Total;2017/1;1896.6
Ambos sexos;55 a 59;Total;2016/4;1881.3
Ambos sexos;55 a 59;Total;2016/3;1869.4
Ambos sexos;55 a 59;Total;2016/2;1806.8
Ambos sexos;55 a 59;Total;2016/1;1796
Ambos sexos;55 a 59;Total;2015/4;1756.1
Ambos sexos;55 a 59;Total;2015/3;1705.3
Ambos sexos;55 a 59;Total;2015/2;1692.6
Ambos sexos;55 a 59;Total;2015/1;1667.1
Ambos sexos;55 a 59;Total;2014/4;1620.9
Ambos sexos;55 a 59;Total;2014/3;1582
Ambos sexos;55 a 59;Total;2014/2;1557
Ambos sexos;55 a 59;Total;2014/1;1537.1
Ambos sexos;55 a 59;Total;2013/4;1552.1
Ambos sexos;55 a 59;Total;2013/3;1551.4
Ambos sexos;55 a 59;Total;2013/2;1526.1
Ambos sexos;55 a 59;Total;2013/1;1504.9
Ambos sexos;55 a 59;Total;2012/4;1509.9
Ambos sexos;55 a 59;Total;2012/3;1520
Ambos sexos;55 a 59;Total;2012/2;1508
Ambos sexos;55 a 59;Total;2012/1;1479.3
Ambos sexos;55 a 59;Total;2011/4;1479.6
Ambos sexos;55 a 59;Total;2011/3;1483.3
Ambos sexos;55 a 59;Total;2011/2;1490.9
Ambos sexos;55 a 59;Total;2011/1;1448.3
Ambos sexos;55 a 59;Total;2010/4;1437.7
Ambos sexos;55 a 59;Total;2010/3;1421.4
Ambos sexos;55 a 59;Total;2010/2;1402.1
Ambos sexos;55 a 59;Total;2010/1;1385.5
Ambos sexos;55 a 59;Total;2009/4;1398.3
Ambos sexos;55 a 59;Total;2009/3;1392.2
Ambos sexos;55 a 59;Total;2009/2;1400.2
Ambos sexos;55 a 59;Total;2009/1;1406.2
Ambos sexos;55 a 59;Total;2008/4;1429.6
Ambos sexos;55 a 59;Total;2008/3;1429.7
Ambos sexos;55 a 59;Total;2008/2;1439.3
Ambos sexos;55 a 59;Total;2008/1;1423
Ambos sexos;55 a 59;Total;2007/4;1406.7
Ambos sexos;55 a 59;Total;2007/3;1384.8
Ambos sexos;55 a 59;Total;2007/2;1381.2
Ambos sexos;55 a 59;Total;2007/1;1359.6
Ambos sexos;55 a 59;Total;2006/4;1359
Ambos sexos;55 a 59;Total;2006/3;1324.9
Ambos sexos;55 a 59;Total;2006/2;1325.9
Ambos sexos;55 a 59;Total;2006/1;1311.5
Ambos sexos;55 a 59;Total;2005/4;1314.4
Ambos sexos;55 a 59;Total;2005/3;1274.9
Ambos sexos;55 a 59;Total;2005/2;1283.6
Ambos sexos;55 a 59;Total;2005/1;1261.7
Ambos sexos;55 a 59;Total;2004/4;1230.2
Ambos sexos;55 a 59;Total;2004/3;1204.9
Ambos sexos;55 a 59;Total;2004/2;1197.8
Ambos sexos;55 a 59;Total;2004/1;1200.2
Ambos sexos;55 a 59;Total;2003/4;1188
Ambos sexos;55 a 59;Total;2003/3;1155.5
Ambos sexos;55 a 59;Total;2003/2;1144.3
Ambos sexos;55 a 59;Total;2003/1;1125
Ambos sexos;55 a 59;Total;2002/4;1124.7
Ambos sexos;55 a 59;Total;2002/3;1096.3
Ambos sexos;55 a 59;Total;2002/2;1096.7
Ambos sexos;55 a 59;Total;2002/1;1078.2
Ambos sexos;60 a 64;Total;2021/3;1381.5
Ambos sexos;60 a 64;Total;2021/2;1358.6
Ambos sexos;60 a 64;Total;2021/1;1317.8
Ambos sexos;60 a 64;Total;2020/4;1301.9
Ambos sexos;60 a 64;Total;2020/3;1280.7
Ambos sexos;60 a 64;Total;2020/2;1243.1
Ambos sexos;60 a 64;Total;2020/1;1259.5
Ambos sexos;60 a 64;Total;2019/4;1227.4
Ambos sexos;60 a 64;Total;2019/3;1178.8
Ambos sexos;60 a 64;Total;2019/2;1161.6
Ambos sexos;60 a 64;Total;2019/1;1129.3
Ambos sexos;60 a 64;Total;2018/4;1111.3
Ambos sexos;60 a 64;Total;2018/3;1092.4
Ambos sexos;60 a 64;Total;2018/2;1074
Ambos sexos;60 a 64;Total;2018/1;1023.9
Ambos sexos;60 a 64;Total;2017/4;1037.3
Ambos sexos;60 a 64;Total;2017/3;1034.3
Ambos sexos;60 a 64;Total;2017/2;1014.1
Ambos sexos;60 a 64;Total;2017/1;974.2
Ambos sexos;60 a 64;Total;2016/4;955.1
Ambos sexos;60 a 64;Total;2016/3;956.5
Ambos sexos;60 a 64;Total;2016/2;958
Ambos sexos;60 a 64;Total;2016/1;942
Ambos sexos;60 a 64;Total;2015/4;929.1
Ambos sexos;60 a 64;Total;2015/3;898.8
Ambos sexos;60 a 64;Total;2015/2;880.8
Ambos sexos;60 a 64;Total;2015/1;848.9
Ambos sexos;60 a 64;Total;2014/4;849.7
Ambos sexos;60 a 64;Total;2014/3;833.4
Ambos sexos;60 a 64;Total;2014/2;816.9
Ambos sexos;60 a 64;Total;2014/1;783.6
Ambos sexos;60 a 64;Total;2013/4;775.4
Ambos sexos;60 a 64;Total;2013/3;768.1
Ambos sexos;60 a 64;Total;2013/2;758.1
Ambos sexos;60 a 64;Total;2013/1;742.5
Ambos sexos;60 a 64;Total;2012/4;772.7
Ambos sexos;60 a 64;Total;2012/3;790.4
Ambos sexos;60 a 64;Total;2012/2;796
Ambos sexos;60 a 64;Total;2012/1;778.8
Ambos sexos;60 a 64;Total;2011/4;799.8
Ambos sexos;60 a 64;Total;2011/3;804.9
Ambos sexos;60 a 64;Total;2011/2;800.1
Ambos sexos;60 a 64;Total;2011/1;791.1
Ambos sexos;60 a 64;Total;2010/4;775.9
Ambos sexos;60 a 64;Total;2010/3;779.3
Ambos sexos;60 a 64;Total;2010/2;774.9
Ambos sexos;60 a 64;Total;2010/1;781.8
Ambos sexos;60 a 64;Total;2009/4;768
Ambos sexos;60 a 64;Total;2009/3;775.8
Ambos sexos;60 a 64;Total;2009/2;803.4
Ambos sexos;60 a 64;Total;2009/1;794.7
Ambos sexos;60 a 64;Total;2008/4;808.5
Ambos sexos;60 a 64;Total;2008/3;805.2
Ambos sexos;60 a 64;Total;2008/2;801.1
Ambos sexos;60 a 64;Total;2008/1;780.3
Ambos sexos;60 a 64;Total;2007/4;770.3
Ambos sexos;60 a 64;Total;2007/3;754.6
Ambos sexos;60 a 64;Total;2007/2;753.8
Ambos sexos;60 a 64;Total;2007/1;728.1
Ambos sexos;60 a 64;Total;2006/4;724.1
Ambos sexos;60 a 64;Total;2006/3;715.6
Ambos sexos;60 a 64;Total;2006/2;722.4
Ambos sexos;60 a 64;Total;2006/1;723.6
Ambos sexos;60 a 64;Total;2005/4;697.2
Ambos sexos;60 a 64;Total;2005/3;692.8
Ambos sexos;60 a 64;Total;2005/2;674
Ambos sexos;60 a 64;Total;2005/1;663.4
Ambos sexos;60 a 64;Total;2004/4;647.1
Ambos sexos;60 a 64;Total;2004/3;630.8
Ambos sexos;60 a 64;Total;2004/2;611.1
Ambos sexos;60 a 64;Total;2004/1;597.5
Ambos sexos;60 a 64;Total;2003/4;594.5
Ambos sexos;60 a 64;Total;2003/3;581.8
Ambos sexos;60 a 64;Total;2003/2;580.8
Ambos sexos;60 a 64;Total;2003/1;564.2
Ambos sexos;60 a 64;Total;2002/4;544.6
Ambos sexos;60 a 64;Total;2002/3;537.9
Ambos sexos;60 a 64;Total;2002/2;535.3
Ambos sexos;60 a 64;Total;2002/1;522.8
Ambos sexos;65 a 69;Total;2021/3;218.4
Ambos sexos;65 a 69;Total;2021/2;228.9
Ambos sexos;65 a 69;Total;2021/1;220.8
Ambos sexos;65 a 69;Total;2020/4;220.1
Ambos sexos;65 a 69;Total;2020/3;202.2
Ambos sexos;65 a 69;Total;2020/2;177.1
Ambos sexos;65 a 69;Total;2020/1;171.6
Ambos sexos;65 a 69;Total;2019/4;163.2
Ambos sexos;65 a 69;Total;2019/3;165.8
Ambos sexos;65 a 69;Total;2019/2;156.3
Ambos sexos;65 a 69;Total;2019/1;142.2
Ambos sexos;65 a 69;Total;2018/4;147.1
Ambos sexos;65 a 69;Total;2018/3;150.4
Ambos sexos;65 a 69;Total;2018/2;143.9
Ambos sexos;65 a 69;Total;2018/1;136
Ambos sexos;65 a 69;Total;2017/4;136
Ambos sexos;65 a 69;Total;2017/3;138.9
Ambos sexos;65 a 69;Total;2017/2;135.4
Ambos sexos;65 a 69;Total;2017/1;128.5
Ambos sexos;65 a 69;Total;2016/4;128.3
Ambos sexos;65 a 69;Total;2016/3;126.2
Ambos sexos;65 a 69;Total;2016/2;126.1
Ambos sexos;65 a 69;Total;2016/1;114.8
Ambos sexos;65 a 69;Total;2015/4;125.8
Ambos sexos;65 a 69;Total;2015/3;117.6
Ambos sexos;65 a 69;Total;2015/2;110.4
Ambos sexos;65 a 69;Total;2015/1;108.4
Ambos sexos;65 a 69;Total;2014/4;103
Ambos sexos;65 a 69;Total;2014/3;108.5
Ambos sexos;65 a 69;Total;2014/2;98.9
Ambos sexos;65 a 69;Total;2014/1;96.6
Ambos sexos;65 a 69;Total;2013/4;100.8
Ambos sexos;65 a 69;Total;2013/3;102.8
Ambos sexos;65 a 69;Total;2013/2;105.9
Ambos sexos;65 a 69;Total;2013/1;108.8
Ambos sexos;65 a 69;Total;2012/4;119.8
Ambos sexos;65 a 69;Total;2012/3;117.8
Ambos sexos;65 a 69;Total;2012/2;113.3
Ambos sexos;65 a 69;Total;2012/1;109
Ambos sexos;65 a 69;Total;2011/4;118.2
Ambos sexos;65 a 69;Total;2011/3;104.2
Ambos sexos;65 a 69;Total;2011/2;107.4
Ambos sexos;65 a 69;Total;2011/1;105.5
Ambos sexos;65 a 69;Total;2010/4;111.2
Ambos sexos;65 a 69;Total;2010/3;109.3
Ambos sexos;65 a 69;Total;2010/2;110.4
Ambos sexos;65 a 69;Total;2010/1;107.8
Ambos sexos;65 a 69;Total;2009/4;116.2
Ambos sexos;65 a 69;Total;2009/3;109.8
Ambos sexos;65 a 69;Total;2009/2;107.6
Ambos sexos;65 a 69;Total;2009/1;108.8
Ambos sexos;65 a 69;Total;2008/4;115.6
Ambos sexos;65 a 69;Total;2008/3;112.2
Ambos sexos;65 a 69;Total;2008/2;112.9
Ambos sexos;65 a 69;Total;2008/1;106.1
Ambos sexos;65 a 69;Total;2007/4;98.8
Ambos sexos;65 a 69;Total;2007/3;101
Ambos sexos;65 a 69;Total;2007/2;89.1
Ambos sexos;65 a 69;Total;2007/1;94
Ambos sexos;65 a 69;Total;2006/4;94.2
Ambos sexos;65 a 69;Total;2006/3;101.4
Ambos sexos;65 a 69;Total;2006/2;104.4
Ambos sexos;65 a 69;Total;2006/1;91.9
Ambos sexos;65 a 69;Total;2005/4;93.3
Ambos sexos;65 a 69;Total;2005/3;88.2
Ambos sexos;65 a 69;Total;2005/2;86.7
Ambos sexos;65 a 69;Total;2005/1;86.9
Ambos sexos;65 a 69;Total;2004/4;72.5
Ambos sexos;65 a 69;Total;2004/3;75.6
Ambos sexos;65 a 69;Total;2004/2;83.2
Ambos sexos;65 a 69;Total;2004/1;80.3
Ambos sexos;65 a 69;Total;2003/4;76.9
Ambos sexos;65 a 69;Total;2003/3;75.3
Ambos sexos;65 a 69;Total;2003/2;78.1
Ambos sexos;65 a 69;Total;2003/1;80.8
Ambos sexos;65 a 69;Total;2002/4;70.1
Ambos sexos;65 a 69;Total;2002/3;75.5
Ambos sexos;65 a 69;Total;2002/2;77.6
Ambos sexos;65 a 69;Total;2002/1;83.6
Ambos sexos;70 y más años;Total;2021/3;58.2
Ambos sexos;70 y más años;Total;2021/2;49.7
Ambos sexos;70 y más años;Total;2021/1;46.1
Ambos sexos;70 y más años;Total;2020/4;47.1
Ambos sexos;70 y más años;Total;2020/3;48.2
Ambos sexos;70 y más años;Total;2020/2;52.7
Ambos sexos;70 y más años;Total;2020/1;60.5
Ambos sexos;70 y más años;Total;2019/4;55.1
Ambos sexos;70 y más años;Total;2019/3;54.9
Ambos sexos;70 y más años;Total;2019/2;55.5
Ambos sexos;70 y más años;Total;2019/1;52.6
Ambos sexos;70 y más años;Total;2018/4;51.6
Ambos sexos;70 y más años;Total;2018/3;47
Ambos sexos;70 y más años;Total;2018/2;44.1
Ambos sexos;70 y más años;Total;2018/1;45.4
Ambos sexos;70 y más años;Total;2017/4;42
Ambos sexos;70 y más años;Total;2017/3;42.1
Ambos sexos;70 y más años;Total;2017/2;42.1
Ambos sexos;70 y más años;Total;2017/1;39.9
Ambos sexos;70 y más años;Total;2016/4;35.9
Ambos sexos;70 y más años;Total;2016/3;33.8
Ambos sexos;70 y más años;Total;2016/2;36.5
Ambos sexos;70 y más años;Total;2016/1;34
Ambos sexos;70 y más años;Total;2015/4;36.1
Ambos sexos;70 y más años;Total;2015/3;33.4
Ambos sexos;70 y más años;Total;2015/2;32.9
Ambos sexos;70 y más años;Total;2015/1;29.6
Ambos sexos;70 y más años;Total;2014/4;32.4
Ambos sexos;70 y más años;Total;2014/3;33.6
Ambos sexos;70 y más años;Total;2014/2;31.1
Ambos sexos;70 y más años;Total;2014/1;30.4
Ambos sexos;70 y más años;Total;2013/4;29.2
Ambos sexos;70 y más años;Total;2013/3;32.4
Ambos sexos;70 y más años;Total;2013/2;36.2
Ambos sexos;70 y más años;Total;2013/1;33.8
Ambos sexos;70 y más años;Total;2012/4;35.8
Ambos sexos;70 y más años;Total;2012/3;43.2
Ambos sexos;70 y más años;Total;2012/2;43.8
Ambos sexos;70 y más años;Total;2012/1;40.6
Ambos sexos;70 y más años;Total;2011/4;42.4
Ambos sexos;70 y más años;Total;2011/3;42.4
Ambos sexos;70 y más años;Total;2011/2;38.8
Ambos sexos;70 y más años;Total;2011/1;42.9
Ambos sexos;70 y más años;Total;2010/4;42.8
Ambos sexos;70 y más años;Total;2010/3;40.7
Ambos sexos;70 y más años;Total;2010/2;42
Ambos sexos;70 y más años;Total;2010/1;38.7
Ambos sexos;70 y más años;Total;2009/4;42.1
Ambos sexos;70 y más años;Total;2009/3;36.1
Ambos sexos;70 y más años;Total;2009/2;36.6
Ambos sexos;70 y más años;Total;2009/1;40.3
Ambos sexos;70 y más años;Total;2008/4;40.2
Ambos sexos;70 y más años;Total;2008/3;44.8
Ambos sexos;70 y más años;Total;2008/2;40.2
Ambos sexos;70 y más años;Total;2008/1;40.7
Ambos sexos;70 y más años;Total;2007/4;49.5
Ambos sexos;70 y más años;Total;2007/3;46.4
Ambos sexos;70 y más años;Total;2007/2;43.6
Ambos sexos;70 y más años;Total;2007/1;49.8
Ambos sexos;70 y más años;Total;2006/4;43.8
Ambos sexos;70 y más años;Total;2006/3;49.9
Ambos sexos;70 y más años;Total;2006/2;52.5
Ambos sexos;70 y más años;Total;2006/1;48.9
Ambos sexos;70 y más años;Total;2005/4;53.7
Ambos sexos;70 y más años;Total;2005/3;47.6
Ambos sexos;70 y más años;Total;2005/2;47.2
Ambos sexos;70 y más años;Total;2005/1;52.3
Ambos sexos;70 y más años;Total;2004/4;35.1
Ambos sexos;70 y más años;Total;2004/3;34.1
Ambos sexos;70 y más años;Total;2004/2;31.8
Ambos sexos;70 y más años;Total;2004/1;28.3
Ambos sexos;70 y más años;Total;2003/4;29.2
Ambos sexos;70 y más años;Total;2003/3;32.1
Ambos sexos;70 y más años;Total;2003/2;33.7
Ambos sexos;70 y más años;Total;2003/1;27.9
Ambos sexos;70 y más años;Total;2002/4;29.1
Ambos sexos;70 y más años;Total;2002/3;28.3
Ambos sexos;70 y más años;Total;2002/2;26.2
Ambos sexos;70 y más años;Total;2002/1;25.4
