periodo,tramo,pensionistas
2006,"De 633,30 a 700,00",
2006,"De 624,00 a 700,00",
2006,"De 648,60 a 700,00",
2006,"De 655,20 a 700,00",
2006,"De 650,01 a 707,69",
2006,"De 650,01 a 735,89",
2006,"De 650,01 a 700,00",
2006,"De 700,01 a 750,00",
2006,"De 700,01 a 800,00",217226.33
2006,"De 707,70 a 800,00",
2006,"De 735,90 a 800,00",
2006,"De 750,01 a 800,00",
2006,"De 800,01 a 850,00",
2006,"De 800,01 a 900,00",218614.25
2006,"De 850,01 a 899,99",
2006,"De 850,01 a 900,00",
2006,"De 900,00 a 1000,00",
2006,"De 900,01 a 949,99",
2006,"De 900,01 a 964,99",
2006,"De 900,01 a 1.000,00",195438.67
2006,"De 950,00 a 1.000,00",
2006,"De 965,00 a 1.000,00",
2006,"De 1.000,01 a 1.100,00",194429.08
2006,"De 1.100,01 a 1.200,00",145723.75
2006,"De 1.200,01 a 1.300,00",122997.58
2006,"De 1.300,01 a 1.400,00",111800.92
2006,"De 1.400,01 a 1.500,00",106109.5
2006,"De 1.500,01 a 1.600,00",77084.67
2006,"De 1.600,01 a 1.700,00",62622.67
2006,"De 1.700,01 a 1.800,00",44452.58
2006,"De 1.800,01 a 1.900,00",35496.17
2006,"De 1.900,01 a 2.000,00",29772.92
2006,"De 2.000,01 a 2.100,00",26044.92
2006,"De 2.100,01 a 2.200,00",
2006,"De 2.200,01 a 2.300,00",
2006,"De 2.300,01 a 2.400,00",
2006,"De 2.400,01 a 2.548,10",
2006,"De 2.400,01 a 2.522,87",
2006,"De 2.400,01 a 2.497,89",
2006,"De 2.400,01 a 2.466,18",
2006,"De 2.400,01 a 2.441,73",
2006,"De 2.300,01 a 2.384,49",
2006,"De 2.200,01 a 2.290,57",
2006,"De 2.100,01 a 2.232,52",28229.75
2006,"De 2.400,01 a 2.554,47",
2006,"De 2.400,01 a 2.560,86",
2006,"De 2.100,01 a 2.159,10",
2006,"De 2.400,01 a 2.567,26",
2006,"De 2.400,01 a 2.500,00",
2006,"De 2.548,11 a 2.548,13",
2006,"De 2.522,88 a 2.522,90",
2006,"De 2.497,90 a 2.497,92",
2006,"De 2.466,19 a 2.466,21",
2006,"De 2.441,74 a 2.441,76",
2006,"De 2.384,50 a 2.384,52",
2006,"De 2.290,58 a 2.290,60",
2006,"De 2.232,53 a 2.232,55",67562.67
2006,"De 2.554,48 a 2.554,50",
2006,"De 2.560,87 a 2.560,89",
2006,"De 2.159,11 a 2.159,13",
2006,"De 2.567,27 a 2.567,29",
2006,"De 2.500,01 a 2.573,68",
2006,"De 2.500,01 a 2.580,11",
2006,"De 2.500,01 a 2.600,00",
2006,"Más de 2.548,13 euros",
2006,"Más de 2.522,90 euros",
2006,"Más de 2.497,92 euros",
2006,"Más de 2.466,21 euros",
2006,"Más de 2.441,76 euros",
2006,"Más de 2.384,52 euros",
2006,"Más de 2.290,60 euros",
2006,"Más de 2.232,55 euros",1347.42
2006,"Más de 2.554,50 euros",
2006,"Más de 2.560,89 euros",
2006,"Más de 2.159,13 euros",
2006,"Más de 2.567,29 euros",
2006,"De 2.573,69 a 2.573,71",
2006,"De 2.580,12 a 2.580,14",
2006,"De 2.600,01 a 2.614,94",
2006,"De 2.600,01 a 2.659,39",
2006,"De 2.600,01 a 2.683,32",
2006,"De 2.600,01 a 2.707,47",
2006,"Más de 2.573,71 euros",
2006,"Más de 2.580,14 euros",
2006,"De 2.614,95 a 2.614,97",
2006,"De 2.659,40 a 2.659,42",
2006,"De 2.683,33 a 2.683,35",
2006,"De 2.707,48 a 2.707,50",
2006,"Más de 2.614,97 euros",
2006,"Más de 2.659,42 euros",
2006,"Más de 2.683,35 euros",
2006,"Más de 2.707,50",
2007,Hasta 150 euros,83775.83
2007,"De 150,01 a 250,00",71015.08
2007,"De 250,01 a 300,00",130444.75
2007,"De 300,01 a 350,00",426931.67
2007,"De 350,01 a 400,00",89764.75
2007,"De 400,01 a 450,00",80581.58
2007,"De 450,01 a 500,00",1119598.83
2007,"De 500,01 a 550,00",342942.58
2007,"De 500,01 a 540,89",
2007,"De 540,90 a 600,00",
2007,"De 500,01 a 512,99",
2007,"De 513,00 a 600,00",
2007,"De 550,01 a 600,00",
2007,"De 550,01 a 570,59",90469
2007,"De 570,60 a 600,00",77800.67
2007,"De 600,01 a 700,00",554200.92
2007,"De 600,01 a 645,29",
2007,"De 600,01 a 641,39",
2007,"De 600,01 a 633,29",
2007,"De 600,01 a 623,99",
2007,"De 600,01 a 648,59",
2007,"De 600,01 a 655,19",
2007,"De 600,01 a 650,00",
2007,"De 645,30 a 700,00",
2007,"De 641,40 a 700,00",
2007,"De 633,30 a 700,00",
2007,"De 624,00 a 700,00",
2007,"De 648,60 a 700,00",
2007,"De 655,20 a 700,00",
2007,"De 650,01 a 707,69",
2007,"De 650,01 a 735,89",
2007,"De 650,01 a 700,00",
2007,"De 700,01 a 750,00",
2007,"De 700,01 a 800,00",212971.25
2007,"De 707,70 a 800,00",
2007,"De 735,90 a 800,00",
2007,"De 750,01 a 800,00",
2007,"De 800,01 a 850,00",
2007,"De 800,01 a 900,00",216836.33
2007,"De 850,01 a 899,99",
2007,"De 850,01 a 900,00",
2007,"De 900,00 a 1000,00",
2007,"De 900,01 a 949,99",
2007,"De 900,01 a 964,99",
2007,"De 900,01 a 1.000,00",200318.67
2007,"De 950,00 a 1.000,00",
2007,"De 965,00 a 1.000,00",
2007,"De 1.000,01 a 1.100,00",187994.08
2007,"De 1.100,01 a 1.200,00",166388
2007,"De 1.200,01 a 1.300,00",130825.33
2007,"De 1.300,01 a 1.400,00",115710.42
2007,"De 1.400,01 a 1.500,00",112809.5
2007,"De 1.500,01 a 1.600,00",90033.75
2007,"De 1.600,01 a 1.700,00",71154.25
2007,"De 1.700,01 a 1.800,00",58442.92
2007,"De 1.800,01 a 1.900,00",42562.92
2007,"De 1.900,01 a 2.000,00",35909.58
2007,"De 2.000,01 a 2.100,00",31451.33
2007,"De 2.100,01 a 2.200,00",26090.83
2007,"De 2.200,01 a 2.300,00",
2007,"De 2.300,01 a 2.400,00",
2007,"De 2.400,01 a 2.548,10",
2007,"De 2.400,01 a 2.522,87",
2007,"De 2.400,01 a 2.497,89",
2007,"De 2.400,01 a 2.466,18",
2007,"De 2.400,01 a 2.441,73",
2007,"De 2.300,01 a 2.384,49",
2007,"De 2.200,01 a 2.290,57",20301.42
2007,"De 2.100,01 a 2.232,52",
2007,"De 2.400,01 a 2.554,47",
2007,"De 2.400,01 a 2.560,86",
2007,"De 2.100,01 a 2.159,10",
2007,"De 2.400,01 a 2.567,26",
2007,"De 2.400,01 a 2.500,00",
2007,"De 2.548,11 a 2.548,13",
2007,"De 2.522,88 a 2.522,90",
2007,"De 2.497,90 a 2.497,92",
2007,"De 2.466,19 a 2.466,21",
2007,"De 2.441,74 a 2.441,76",
2007,"De 2.384,50 a 2.384,52",
2007,"De 2.290,58 a 2.290,60",74413
2007,"De 2.232,53 a 2.232,55",
2007,"De 2.554,48 a 2.554,50",
2007,"De 2.560,87 a 2.560,89",
2007,"De 2.159,11 a 2.159,13",
2007,"De 2.567,27 a 2.567,29",
2007,"De 2.500,01 a 2.573,68",
2007,"De 2.500,01 a 2.580,11",
2007,"De 2.500,01 a 2.600,00",
2007,"Más de 2.548,13 euros",
2007,"Más de 2.522,90 euros",
2007,"Más de 2.497,92 euros",
2007,"Más de 2.466,21 euros",
2007,"Más de 2.441,76 euros",
2007,"Más de 2.384,52 euros",
2007,"Más de 2.290,60 euros",1517.17
2007,"Más de 2.232,55 euros",
2007,"Más de 2.554,50 euros",
2007,"Más de 2.560,89 euros",
2007,"Más de 2.159,13 euros",
2007,"Más de 2.567,29 euros",
2007,"De 2.573,69 a 2.573,71",
2007,"De 2.580,12 a 2.580,14",
2007,"De 2.600,01 a 2.614,94",
2007,"De 2.600,01 a 2.659,39",
2007,"De 2.600,01 a 2.683,32",
2007,"De 2.600,01 a 2.707,47",
2007,"Más de 2.573,71 euros",
2007,"Más de 2.580,14 euros",
2007,"De 2.614,95 a 2.614,97",
2007,"De 2.659,40 a 2.659,42",
2007,"De 2.683,33 a 2.683,35",
2007,"De 2.707,48 a 2.707,50",
2007,"Más de 2.614,97 euros",
2007,"Más de 2.659,42 euros",
2007,"Más de 2.683,35 euros",
2007,"Más de 2.707,50",
2008,Hasta 150 euros,80331.42
2008,"De 150,01 a 250,00",60151.33
2008,"De 250,01 a 300,00",104987
2008,"De 300,01 a 350,00",113807.58
2008,"De 350,01 a 400,00",418193.83
2008,"De 400,01 a 450,00",74096.5
2008,"De 450,01 a 500,00",144312.75
2008,"De 500,01 a 550,00",1210930.42
2008,"De 500,01 a 540,89",
2008,"De 540,90 a 600,00",
2008,"De 500,01 a 512,99",
2008,"De 513,00 a 600,00",
2008,"De 550,01 a 600,00",195275.33
2008,"De 550,01 a 570,59",
2008,"De 570,60 a 600,00",
2008,"De 600,01 a 700,00",569195.25
2008,"De 600,01 a 645,29",
2008,"De 600,01 a 641,39",
2008,"De 600,01 a 633,29",
2008,"De 600,01 a 623,99",
2008,"De 600,01 a 648,59",
2008,"De 600,01 a 655,19",
2008,"De 600,01 a 650,00",
2008,"De 645,30 a 700,00",
2008,"De 641,40 a 700,00",
2008,"De 633,30 a 700,00",
2008,"De 624,00 a 700,00",
2008,"De 648,60 a 700,00",
2008,"De 655,20 a 700,00",
2008,"De 650,01 a 707,69",
2008,"De 650,01 a 735,89",
2008,"De 650,01 a 700,00",
2008,"De 700,01 a 750,00",
2008,"De 700,01 a 800,00",216698.92
2008,"De 707,70 a 800,00",
2008,"De 735,90 a 800,00",
2008,"De 750,01 a 800,00",
2008,"De 800,01 a 850,00",
2008,"De 800,01 a 900,00",203667
2008,"De 850,01 a 899,99",
2008,"De 850,01 a 900,00",
